"Dependentes","Estado.Civil","Idade","Conta.Poupanca","Conta.Salario","Cheque.Sem.Fundo","Conta.Conjunta","Valor.Emprestimo","Multa","Juros","Valor.Emprestimo.Atualizado","PAGO","ID"
2,2,3,2,1,1,1,3,2,3,3,1,1328587
1,2,3,2,1,2,1,3,2,3,3,1,1424254
2,2,1,2,1,2,1,3,3,3,3,1,1438519
1,8,1,1,1,1,1,2,3,2,3,1,1426138
2,2,3,2,1,1,1,2,1,1,1,1,1474504
1,2,3,2,1,1,1,2,2,2,2,1,1341838
1,4,2,2,1,1,1,2,1,1,1,1,1338805
2,2,1,2,1,1,1,3,1,1,2,1,1470493
1,2,1,2,1,1,1,3,2,3,3,1,1393747
1,2,3,2,1,1,1,2,2,1,1,1,16953610468
2,2,3,2,1,1,1,2,2,1,1,1,1331032
1,2,2,2,1,1,1,2,1,1,1,1,47017213
1,2,3,1,2,1,1,2,2,2,2,1,21631911268
1,4,2,2,1,1,1,2,2,2,2,1,16805842480
1,2,1,2,1,2,1,2,1,1,1,1,1436095
1,2,3,2,1,2,1,3,3,3,3,1,16902404068
2,4,3,2,1,2,1,2,1,1,1,1,1498642
1,2,3,2,1,1,1,2,1,1,1,1,1435072
1,4,2,2,1,2,1,3,2,3,3,1,1381798
1,2,1,2,2,1,1,3,1,2,2,1,47017999
1,2,3,2,1,1,1,3,3,3,3,1,1504063
2,2,1,2,1,1,1,2,1,1,1,1,1467925
1,4,1,2,1,1,1,3,2,3,3,1,1392448
2,8,3,1,1,1,1,3,3,3,3,1,16829288068
1,4,2,2,1,1,1,2,2,2,1,1,1371715
1,2,2,2,1,1,2,2,2,1,1,1,1416787
1,2,1,2,1,1,2,2,3,2,3,1,16948848868
1,2,1,2,1,1,1,3,2,3,3,1,1448749
1,2,3,2,1,2,1,3,1,2,2,1,1435654
1,4,3,2,1,2,1,2,2,1,1,1,1381096
1,2,2,2,1,1,1,3,1,2,2,1,1413991
1,4,2,2,1,1,1,3,1,3,2,1,1339651
1,2,2,2,1,1,1,2,2,1,1,1,1341832
1,8,1,2,1,1,1,3,3,3,3,1,16876692868
1,8,2,1,1,1,1,3,2,3,3,1,1347940
1,3,3,1,1,1,1,2,2,2,1,1,1371280
1,2,1,2,1,2,1,2,2,1,1,1,1426636
2,2,3,2,1,2,1,3,2,3,3,1,1380772
2,2,2,2,1,2,1,3,3,3,3,1,21615173668
2,2,2,2,1,2,1,3,2,3,3,1,1447648
1,2,2,2,1,1,1,3,2,3,3,1,1386541
2,2,1,2,1,2,1,2,1,1,2,1,1465897
1,4,2,2,1,1,1,2,1,2,2,1,1312372
1,2,3,2,1,2,1,2,2,1,1,1,1379899
1,2,2,2,1,2,1,2,1,1,1,1,1501411
1,8,3,2,1,1,1,2,2,1,1,1,1391542
1,2,3,2,1,1,1,2,3,2,2,1,1480324
2,2,1,2,1,2,1,3,1,2,2,1,47017549
1,2,2,2,1,1,1,3,1,3,2,1,1310668
2,2,1,2,1,2,1,2,1,1,1,1,1502653
2,2,1,2,1,1,1,2,1,2,1,1,1374685
1,2,1,2,1,2,1,2,1,1,1,1,1501243
2,4,1,2,1,1,1,3,1,2,2,1,1423855
1,4,2,2,1,1,1,2,2,1,1,1,1400719
2,2,1,2,1,1,1,2,1,1,1,1,1414699
1,4,3,2,1,1,1,3,2,3,3,1,1316356
2,2,2,2,1,1,1,2,2,1,1,1,1388230
1,4,2,2,1,1,1,2,3,2,2,1,1353094
1,4,2,2,1,1,1,3,3,3,3,1,16803903268
1,2,2,2,1,1,1,3,3,3,3,1,46999558
2,3,2,2,1,2,1,3,2,3,3,1,1444525
1,8,3,1,1,2,1,2,3,2,2,1,1462120
2,8,2,1,1,1,1,3,3,3,3,1,21605002468
2,2,2,2,1,2,1,3,2,2,3,1,1468681
2,2,2,2,1,1,1,2,1,1,1,1,1502083
2,2,1,2,1,1,1,2,1,1,1,1,1510093
2,2,2,2,1,1,1,2,1,1,1,1,1419322
1,2,3,2,1,2,1,2,1,2,2,1,1400176
1,3,2,1,1,1,1,2,3,3,3,1,1371772
1,4,2,2,1,1,1,3,2,3,2,1,46993876
1,2,1,2,1,2,1,3,1,2,2,1,1396528
1,8,2,2,1,1,1,2,3,3,3,1,1374058
1,2,1,2,1,2,1,2,1,1,1,1,1484755
1,8,1,1,1,2,1,3,2,3,3,1,1448764
1,4,2,2,1,2,1,2,2,2,1,1,1378927
1,4,2,2,1,1,1,2,1,2,1,1,1375471
1,2,3,2,1,2,1,2,1,1,1,1,47016376
2,2,3,2,1,1,1,2,3,2,2,1,1335640
2,2,3,2,1,2,1,3,2,3,3,1,1446040
2,2,1,2,1,1,1,2,2,1,1,1,1469524
2,4,2,2,1,2,1,2,1,1,1,1,1393564
2,2,1,2,1,1,1,2,1,1,1,1,1473874
2,2,2,2,1,1,1,2,1,2,2,1,1386106
1,4,2,2,1,1,1,2,1,1,1,1,16805424874
2,2,1,2,1,2,1,2,3,2,2,1,1457167
1,8,3,1,1,1,1,2,2,2,2,1,16818651268
2,2,2,2,1,2,1,3,3,3,3,1,1392679
1,8,2,1,1,1,1,2,1,2,2,1,1384021
2,2,2,2,1,2,1,2,1,2,2,1,1339042
2,2,3,2,1,1,1,2,1,1,1,1,1340368
2,4,3,2,1,1,1,2,3,2,2,1,1347769
1,2,1,2,1,2,1,2,2,1,1,1,1425580
1,4,2,2,1,1,1,3,3,3,3,1,1355980
1,2,2,2,1,1,1,2,1,2,2,1,1414861
1,8,2,1,1,1,1,2,1,1,1,1,1424557
